id,sexo,zona,macrozona,region,edad,p1_anyo,p1_mes,p2,p3,p4,p5,p6,p7,p8,p9_1,p9_2,p9_3,p9_4,p9_5
2543,1,2,2,5,25,1991,3,88,3,NA,NA,1,1,1,1,10,1,1,1
2548,2,2,4,13,63,1952,9,1,1,1,NA,7,7,9,10,10,10,10,10
2566,1,2,4,13,72,1943,8,1,2,1,NA,7,5,8,8,10,6,6,7
2580,1,2,4,13,24,1991,11,8,1,1,NA,8,8,10,10,10,10,10,10
2608,2,2,4,13,71,1945,2,7,1,1,NA,9,8,8,5,8,6,6,6
2619,1,2,4,13,84,1931,9,1,1,1,NA,6,10,10,10,10,10,10,10
2623,1,2,4,13,26,1990,4,5,3,NA,NA,7,8,10,7,5,5,7,8
2626,1,2,4,13,55,1960,11,1,1,1,NA,10,1,10,6,5,10,10,8
2629,1,2,2,5,39,1976,5,4,1,1,NA,6,10,10,10,10,10,10,10
2639,1,2,4,13,78,1938,3,1,1,1,NA,8,8,10,10,9,9,9,9
2647,1,2,1,2,53,1962,11,1,1,2,2,8,7,10,10,10,10,8,10
2649,2,2,4,13,53,1962,9,1,1,2,2,7,7,9,9,9,9,9,9
2650,1,2,1,2,65,1950,9,5,1,3,8,6,5,9,8,7,7,9,8
2651,1,2,1,2,59,1956,6,1,1,1,NA,6,6,6,5,5,6,5,6
2656,1,2,4,13,64,1951,8,1,2,1,NA,5,4,9,7,9,9,8,9
2662,2,2,1,2,48,1967,8,1,1,2,2,6,9,7,4,3,3,4,4
2686,1,2,4,13,78,1937,8,1,1,1,NA,8,7,9,10,10,10,10,10
2720,1,2,1,2,45,1971,4,3,1,3,1,5,4,8,8,9,9,10,10
2745,1,2,4,13,21,1995,2,5,3,NA,NA,8,10,10,10,5,10,10,10
2760,1,2,4,13,34,1981,12,5,3,NA,NA,7,7,10,10,10,10,10,10
2761,1,2,2,5,79,1937,2,2,3,NA,NA,7,5,2,1,1,1,1,1
2770,1,2,4,13,51,1964,7,1,1,1,NA,8,3,10,10,10,10,10,10
2775,1,2,4,13,21,1994,11,5,3,NA,NA,5,8,8,5,5,7,8,8
2779,1,2,4,13,48,1967,11,1,3,NA,NA,9,8,8,9,9,9,8,8
2790,1,2,4,13,22,1994,2,5,3,NA,NA,7,6,7,7,8,7,9,7
2801,1,2,1,4,24,1992,2,5,3,NA,NA,8,7,10,6,10,10,10,10
2805,1,2,4,13,72,1944,4,1,1,1,NA,8,8,10,10,10,10,10,10
2806,1,2,4,13,38,1977,10,5,3,NA,NA,10,9,10,10,10,10,10,10
2809,1,2,4,13,51,1964,11,4,2,1,NA,9,10,10,10,10,10,10,10
